DATA PREPROCESSING RESULTS
Generator: Alyuda NeuroIntelligence 2.2 (577)
Original dataset: C:\Users\denis\Desktop\Bitcoin.apr
Date: 03.04.2022
Time: 22:01:45

Column #1;Column #2;Column #3;Column #4;Column #5
0,672581;0,452462;0,028138;0,47327;0,78668
0,452462;0,028138;0,47327;0,573361;0,434874
0,028138;0,47327;0,573361;-0,130252;0,088099
0,47327;0,573361;-0,130252;-0,823802;0,115112
0,573361;-0,130252;-0,823802;-0,769777;0,118998
-0,130252;-0,823802;-0,769777;-0,762004;0,214344
-0,823802;-0,769777;-0,762004;-0,571312;0,11263
-0,769777;-0,762004;-0,571312;-0,774739;0,086633
-0,762004;-0,571312;-0,774739;-0,826734;0,103681
-0,571312;-0,774739;-0,826734;-0,792637;0,073286
-0,774739;-0,826734;-0,792637;-0,853427;0
-0,826734;-0,792637;-0,853427;-1;0,107958
-0,792637;-0,853427;-1;-0,784083;0,239559
-0,853427;-1;-0,784083;-0,520882;0,357119
-1;-0,784083;-0,520882;-0,285763;0,451592
-0,784083;-0,520882;-0,285763;-0,096815;0,518922
-0,520882;-0,285763;-0,096815;0,037844;0,504625
-0,285763;-0,096815;0,037844;0,00925;0,593204
-0,096815;0,037844;0,00925;0,186408;0,422223
0,037844;0,00925;0,186408;-0,155555;0,458753
0,00925;0,186408;-0,155555;-0,082494;0,337807
0,186408;-0,155555;-0,082494;-0,324385;0,487761
-0,155555;-0,082494;-0,324385;-0,024477;0,679255
-0,082494;-0,324385;-0,024477;0,35851;0,88202
-0,324385;-0,024477;0,35851;0,76404;0,86207
-0,024477;0,35851;0,76404;0,724141;0,87658
0,35851;0,76404;0,724141;0,753159;0,934872
0,76404;0,724141;0,753159;0,869745;1
0,724141;0,753159;0,869745;1;0,797317
0,753159;0,869745;1;0,594634;0,757158
0,869745;1;0,594634;0,514316;0,524842
1;0,594634;0,514316;0,049684;0,542798
0,594634;0,514316;0,049684;0,085596;0,441885
0,514316;0,049684;0,085596;-0,11623;0,563919
0,049684;0,085596;-0,11623;0,127839;0,460033
0,085596;-0,11623;0,127839;-0,079934;0,299206
-0,11623;0,127839;-0,079934;-0,401587;0,335622
0,127839;-0,079934;-0,401587;-0,328756;0,133293
-0,079934;-0,401587;-0,328756;-0,733413;0,181307
-0,401587;-0,328756;-0,733413;-0,637385;0,315182
-0,328756;-0,733413;-0,637385;-0,369637;0,305093
-0,733413;-0,637385;-0,369637;-0,389815;0,195771
-0,637385;-0,369637;-0,389815;-0,608457;0,175842
-0,369637;-0,389815;-0,608457;-0,648316;0,196345
-0,389815;-0,608457;-0,648316;-0,607309;0,178094
-0,608457;-0,648316;-0,607309;-0,643812;0,281729
-0,648316;-0,607309;-0,643812;-0,436542;0,446714
-0,607309;-0,643812;-0,436542;-0,106572;0,413763
