DATA PREPROCESSING RESULTS
Generator: Alyuda NeuroIntelligence 2.2 (577)
Original dataset: C:\Users\denis\Desktop\Cars\Cars.apr
Date: 03.04.2022
Time: 23:27:05

Awtomobil: VW;Awtomobil: Toyota;Awtomobil: Porsche;Awtomobil: Mazda;Awtomobil: BMW;Awtomobil: Mercedes;Awtomobil: Lexus;Awtomobil: Audi;Tip: Coupe;Tip: Hatchback;Tip: Jip;Tip: Sedan;Tip: Combi;Godina;Tip dwigatel: Benzin;Tip dwigatel: Electro;Tip dwigatel: Hibrid;Tip dwigatel: Dizel;Probeg;Skorostna kutia: Awtomat;Skorostna kutia: Manual;Skorostna kutia: Poluawtomat;Extri;Cena(euro)
1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;0,368421;1;-1;-1;-1;-0,909964;1;-1;-1;1;1
-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,578947;-1;1;-1;-1;0,8579;-1;1;-1;1;0,409319
-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,789474;-1;-1;1;-1;-0,126706;1;-1;-1;-1;0
-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,473684;-1;-1;1;-1;-0,353401;-1;1;-1;-1;0,113978
-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;0,157895;-1;-1;1;-1;-0,253482;-1;-1;1;-1;0,880551
-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,052632;-1;1;-1;-1;-0,878014;-1;1;-1;-1;0,468861
-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;1;0,323428;-1;1;-1;1;0,072125
-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;0,578947;-1;-1;1;-1;0,014417;-1;1;-1;-1;0,48956
-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-0,684211;1;-1;-1;-1;0,108894;1;-1;-1;-1;0,916294
-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-0,684211;-1;-1;1;-1;-0,465923;-1;-1;1;-1;0,5605
-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-0,757098;1;-1;-1;-1;0,014316
-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-0,052632;-1;-1;1;-1;-0,95068;-1;-1;1;1;0,212911
-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,473684;-1;-1;-1;1;-0,715963;-1;1;-1;-1;0,789642
1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;0,684211;-1;-1;1;-1;0,852343;-1;-1;1;-1;0,50962
-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;-1;0,894737;-1;1;-1;-1;0,356819;-1;1;-1;-1;0,211453
-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-0,157895;1;-1;-1;-1;0,974073;1;-1;-1;1;0,162852
-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,368421;-1;1;-1;-1;-0,75254;-1;-1;1;1;0,923315
1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-0,368421;1;-1;-1;-1;1;-1;1;-1;1;0,296891
-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;0,578947;-1;-1;1;-1;0,59214;-1;-1;1;-1;0,466308
-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0,684211;-1;-1;-1;1;0,062807;-1;-1;1;-1;0,983861
-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-0,684211;-1;-1;1;-1;-0,37784;1;-1;-1;-1;0,51582
-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,157895;1;-1;-1;-1;-0,352215;1;-1;-1;-1;0,535789
-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-0,789474;-1;-1;1;-1;0,799163;-1;1;-1;-1;0,249749
-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-0,684211;-1;-1;-1;1;0,65804;-1;1;-1;-1;0,071396
-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;0,684211;-1;-1;-1;1;0,904174;1;-1;-1;-1;0,082703
1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;0,157895;-1;1;-1;-1;0,260481;-1;-1;1;-1;0,592961
1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-0,789474;-1;1;-1;-1;-1;1;-1;-1;-1;0,063828
-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;0,684211;-1;-1;1;-1;0,553587;1;-1;-1;-1;0,814079
-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-0,578947;-1;1;-1;-1;-0,192931;-1;1;-1;1;0,053433
1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;0,894737;-1;-1;1;-1;-0,729869;-1;1;-1;-1;0,930154
