DATA PREPROCESSING RESULTS
Generator: Alyuda NeuroIntelligence 2.2 (577)
Original dataset: C:\Users\denis\Desktop\Estate.apr
Date: 03.04.2022
Time: 21:48:41

Apartament: Dwustaen;Apartament: Tristaen;Apartament: Mnogostaen;Apartament: Ednostaen;Ploschtad;Etaj;Mestopolojenie: Lewski;Mestopolojenie: Grycki;Mestopolojenie: Troshewo;Mestopolojenie: Center;Mestopolojenie: Chaika;Mestopolojenie: Cweten;Mestopolojenie: Hristo Botew;Mestopolojenie: Briz;Obzawejdane: Pylno;Obzawejdane: Ne;Obzawejdane: Chastichno;Cena (euro)
1;-1;-1;-1;-0,5;0,538462;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;0,106796
1;-1;-1;-1;-0,375;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;0,126214
1;-1;-1;-1;-0,5;-0,384615;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;0,097087
-1;1;-1;-1;0;0,692308;-1;-1;1;-1;-1;-1;-1;-1;1;-1;-1;0,223301
-1;-1;1;-1;0,75;0,384615;-1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;0,757282
-1;1;-1;-1;0,125;0,692308;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;0,368932
-1;-1;1;-1;0,875;0,230769;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;1
-1;1;-1;-1;0,125;0,538462;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;0,68932
-1;-1;1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;0,854369
-1;-1;-1;1;-1;-0,538462;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;1;0
-1;-1;1;-1;0,75;0,692308;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;0,708738
-1;-1;-1;1;-1;-0,538462;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;0,048544
-1;1;-1;-1;0;-0,230769;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;0,271845
-1;-1;1;-1;0,875;0,692308;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;0,932039
-1;1;-1;-1;0,25;0,076923;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;0,601942
1;-1;-1;-1;-0,375;1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;0,194175
-1;-1;1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;0,757282
-1;-1;1;-1;0,875;-0,692308;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;0,951456
-1;1;-1;-1;0,25;-0,384615;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;0,466019
-1;-1;1;-1;0,75;-0,384615;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;0,669903
1;-1;-1;-1;-0,375;0,230769;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;0,213592
-1;1;-1;-1;0,25;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;0,679612
